qno,cat,qtext,optA,optB,optC,optD
1,s,Saya merasa sulit untuk menenangkan diri.,0,1,2,3
2,a,Saya menyadari mulut saya terasa kering.,0,1,2,3
3,d,Saya merasa tidak bisa merasakan perasaan positif sama sekali.,0,1,2,3
4,a,"Saya mengalami kesulitan bernapas, misalnya pernapasan yang terlalu cepat atau sesak napas tanpa aktivitas fisik.",0,1,2,3
5,d,Saya merasa sulit untuk memulai melakukan sesuatu.,0,1,2,3
6,s,Saya cenderung bereaksi berlebihan terhadap situasi.,0,1,2,3
7,a,"Saya mengalami gemetar, misalnya di tangan.",0,1,2,3
8,s,Saya merasa menggunakan banyak energi karena gugup.,0,1,2,3
9,a,Saya khawatir tentang situasi di mana saya mungkin panik dan mempermalukan diri sendiri.,0,1,2,3
10,d,Saya merasa tidak ada yang bisa saya nantikan.,0,1,2,3
11,s,Saya merasa gelisah.,0,1,2,3
12,s,Saya merasa sulit untuk bersantai.,0,1,2,3
13,d,Saya merasa sedih dan murung.,0,1,2,3
14,s,Saya tidak toleran terhadap apa pun yang menghalangi saya menyelesaikan apa yang sedang saya kerjakan.,0,1,2,3
15,a,Saya merasa hampir panik.,0,1,2,3
16,d,Saya merasa tidak bisa bersemangat tentang apa pun.,0,1,2,3
17,d,Saya merasa tidak berharga sebagai seorang individu.,0,1,2,3
18,s,Saya merasa agak sensitif atau mudah tersinggung.,0,1,2,3
19,a,"Saya menyadari detak jantung saya meskipun tidak melakukan aktivitas fisik, misalnya detak jantung terasa meningkat atau terasa seperti kehilangan satu detak.",0,1,2,3
20,a,Saya merasa takut tanpa alasan yang jelas.,0,1,2,3
21,d,Saya merasa hidup tidak memiliki makna.,0,1,2,3